(Intercept).p,Temperature.p,variable
0.005780940710706513,0.03930209545599847,Depth
7.887599068953481e-15,3.5699101699525054e-5,Salinity
4.562811203352555e-15,2.112427424241602e-6,Density
4.617115780063251e-4,1.256447295384612e-4,O2
0.014010228168594051,0.05838637730414003,NO3
0.7284870488987887,0.866507778443192,H2S
